,sentence,intent
6457,Give me the definition of the shot.,26
6458,I want to destroy all my events.,30
6459,Start playing a hundred one and three f. m. when you beat thirteen,36
6460,There is a carnival in our area.,6
6461,Show the fastest route to Jack's home,42
6462,The shares I invested in are growing.,4
6463,Some foods at a low price,16
6464,Consider this percentage.,39
6465,Remove everything from my calendar.,30
6466,"A bit of noise, please.",35
6467,Send a message from Canada,22
6468,Remember the third afternoon.,50
6469,I want to send an email to my friend.,33
6470,What is the weather for this week?,13
6471,Please give me an hour.,0
6472,I want to listen to jazz.,45
6473,Clean the speakers,35
6474,Play podcasts Criminatorium,58
6475,I am in the mood to order.,16
6476,What's Happening Tonight in the Hole,6
6477,Open this game,51
6478,Add me a new list.,21
6479,Please call the Chinese vocal and order number seven.,16
6480,Is there a new mail from Charles in the coming,44
6481,What is a Monitor,26
6482,Please include the rubber.,34
6483,Today is really tired.,12
6484,Read this list.,59
6485,What movies should I watch,55
6486,Where I can shop as a local tourist,19
6487,Favorite People,45
6488,I need coffee,56
6489,Add alarm at 5 a.m. instead of 9 a.m.,48
6490,Order a taxi to the airport.,54
6491,Find the current price of the samsung stock,4
6492,The dollar is stronger than the pound.,10
6493,I have meetings tomorrow.,32
6494,Find me the golden.,36
6495,Reduce clarity,31
6496,Western,26
6497,Start the alarm on Friday afternoon.,48
6498,Include Bjork,45
6499,I need a car in an hour.,54
6500,Play rock music for me,45
6501,What is sensational information,22
6502,I have a meeting today.,32
6503,Add your self gmail com to my contact list,15
6504,Remember me to call my daughter on Thursday to wish her all the best on her birthday.,50
6505,Remove the serum from my list,53
6506,Remove apples from my shopping list,53
6507,Please delete the next event in the calendar I created.,30
6508,Visit a restaurant in Seattle.,19
6509,Show me from whom I received my last email.,44
6510,Play and you too.,45
6511,Songs of Sanah,45
6512,Over the Rainbow,45
6513,What is Popular in Technology,22
6514,Show me what I hear in the results.,57
6515,Update my contacts by adding a new address to the self-gmail butter com,15
6516,Don't let me forget tomorrow's meeting with Sylvia,50
6517,Wellington New Zealand,0
6518,Can you set my alarm at seven and thirty in the morning?,48
6519,Do I have any memories of today?,32
6520,I need a parasol today.,13
6521,Tell me what a poltergeist is.,26
6522,Remember to make food shopping today.,50
6523,When the train departs to Krakow,42
6524,Keep a memory in the calendar on the twelfth in the afternoon called lunch.,50
6525,This can make a problem small for us.,47
6526,I have to answer this email.,33
6527,Read more about Donald Tusk,49
6528,What mood are you today?,12
6529,What are you,12
6530,Who was the first President of Poland?,49
6531,The exchange rate of the Danish crown to the rupee,10
6532,Create a list of purchases for the market,21
6533,Play the most popular podcasts.,58
6534,How many hours are left to the north in Warsaw?,0
6535,Explain this,12
6536,I got a mail from my father.,44
6537,"I want to laugh, I want to laugh.",25
6538,Popular Facebook,22
6539,What is the best pizza near me?,16
6540,Update about Hockey.,22
6541,Send me an email to my mom and tell her we’ll see you in Disneyland.,33
6542,Create a Man's Game,45
6543,Olly Make Me Coffee,56
6544,Order me a train ticket for the 14th of April.,2
6545,Remove all events this month.,30
6546,What is the minute after 4 a.m.,0
6547,Show me all the planned alarms,23
6548,There are concerts in Chicago this weekend.,6
6549,Turn the light in the house into pink.,1
6550,Who is playing both in this game?,57
6551,Take it in the garment.,34
6552,What is the capital of France?,49
6553,More information about this event.,32
6554,Add the event,50
6555,Show me the last email from Jack.,44
6556,Find the most important news of the day.,22
6557,Can you read the newest song of MGK?,45
6558,My calendar is free today at 4 a.m.,32
6559,be pressed,46
6560,Please set the event at 10 a.m. in a month and two days from now garage sale in my home,50
6561,Show my calendar for this month.,32
6562,A new email,44
6563,What is the current price of Rolls-Royce,4
6564,How old is Jennifer Garner?,49
6565,What are the next planned events,32
6566,I need you to add this email to my contacts.,15
6567,Can you tell me when on Friday the 13th will be in t.v. this year?,12
6568,Who is Janet Jackson?,49
6569,What are the news headlines,22
6570,What's New on the Stock Exchange,4
6571,In 10 minutes I’ll need coffee from the filter please ask for it Express to coffee,56
6572,Find ingredients for cooking chicken in marshal sauce,9
6573,Order me Chinese food.,16
6574,Remove the last post from the list.,53
6575,which lists are present in the note application,59
6576,Do you store my personal data?,12
6577,Do you have any complaints or valuable judgments beyond your intellectual capabilities?,12
6578,Distribution of trains,42
6579,Make noise to zero.,46
6580,Let me know when it will be three days before this event in my calendar,50
6581,I need coffee.,56
6582,Turn off the light in the kitchen.,40
6583,Alexandra is on my list of contacts.,17
6584,"If I were in the Eastern Time Zone, what time would it be now?",38
6585,The train from Elblouga to the Green Mountain,42
6586,Delete the plug,8
6587,Please check the mother's mail.,44
6588,Create a list of food shopping,21
6589,Go to the next episode of the podcast,58
6590,The sound is two degrees.,14
6591,Meeting from 8th to 12th,50
6592,What are the chances that Donald Trump becomes a dictator?,12
6593,Show me the weather forecast for this week.,13
6594,Show me an hour in Moscow,0
6595,"In the music player, set the noise to 60",14
6596,What is the current temperature,13
6597,Will it be warm tomorrow?,13
6598,I'm hungry show me food for you,16
6599,What is Apple stock price today?,4
6600,Give some love songs.,36
6601,Set a reminder of the dinner at eighteenth on Wednesday in the good fish restaurant,50
6602,Can you define the chair?,26
6603,Remembrance,48
6604,Create an event with a meeting alarm in two hours.,48
6605,I want him to be wise and intelligent in such a way that he knows me and recognizes what the result I want.,49
6606,Alex send me a mail.,33
6607,Are there any concerts in New York today?,6
6608,What Women Want,12
6609,Do I have something in the calendar on Friday morning after arriving at work?,32
6610,Where the train is coming,42
6611,Check the delivery options from the restaurant.,3
6612,Reduce the light,31
6613,Check the road on the road to home.,11
6614,What information do you have about the armor?,17
6615,Remove this position.,53
6616,Go to the next section in this subscription.,58
6617,How to define religion,26
6618,Turn off the lamp in the bedroom.,40
6619,What was the topic of my last mail to Tom,44
6620,Start a new lottery number list,21
6621,Events in my neighborhood,6
6622,What is a fuel wire injector?,26
6623,Should I wear my gloves tonight?,13
6624,Olly order me a taxi to the station in half an hour.,30
6625,Add a new mail to my contacts,15
6626,How often do you update,12
6627,I don’t want to wear a parasol or it will rain today.,13
6628,Tell me about the evening meeting five minutes earlier.,50
6629,Repeat the current work,28
6630,List new emails,44
6631,How long is the Chinese Wall?,49
6632,wake me up at sixth and thirty.,48
6633,News in the City,22
6634,What is the weather in Katowice?,13
6635,Replace the present light in the dark house.,1
6636,Activate the silence mode until my alarm is activated.,46
6637,Drink the coffee at 6 a.m.,56
6638,I like the song that is played.,43
6639,Check when the show starts.,32
6640,Four divided into two equals two.,39
6641,Please show the list content.,59
6642,What is the mail address,17
6643,This is the ninth hour in Australia.,38
6644,Add positions to the list,21
6645,Please tell me about an hour before Thursday about my visit to the hairdresser,50
6646,What is Undefined,26
6647,What is the latest information now,22
6648,Play a boysband music.,45
6649,How long will it take to get from Rome to Paris by train?,42
6650,Latest Information,22
6651,Kiss from a Rose,45
6652,The list should contain this post.,21
6653,Remove my visit to the dentist.,30
6654,Please tell me what is on the list.,59
6655,Add to my calendar a meeting with Mrs. Walewsk on Wednesday at eight a.m.,50
6656,I Need a Recipe for Sweaters,9
6657,Add lunch with eja on the 2nd of January at the twelfth.,50
6658,Start the alarm tomorrow at 6 a.m.,48
6659,Find restaurants in a kilometre radius,19
6660,The Ten Best Movies,55
6661,What time is now in London?,0
6662,It will be sunny on Friday.,13
6663,Check the email I received from my girlfriend.,44
6664,Discover instrumental music,45
6665,Leave a song footloose,45
6666,Please tell me when is the birthday reception of Janka,32
6667,Oly what you dream of,12
6668,Can you tell me the most important news from the White House?,22
6669,What is happening in the world today,22
6670,What is Basketball,26
6671,Where is the nearest sheep?,19
6672,What New on Facebook,27
6673,The jumping meeting,50
6674,Show me my meetings this weekend.,32
6675,Finance,22
6676,Take a cheeseburger with burger kings.,16
6677,I have a new email today.,44
6678,I need a cottage.,13
6679,Start playing jazz music.,45
6680,Find Contact,17
6681,Let me listen to the last podcast department,58
6682,Weather conditions for the next day,13
6683,I want to listen to music from my playlist.,45
6684,Googles: What is Mary's Googles,12
6685,What I have planned for next week,32
6686,I have a new mail.,44
6687,How to make a pizza,9
6688,Map of Google,49
6689,Please enable my smart plugin.,24
6690,I have a palm report.,59
6691,I want to add the event of May 5th two thousand seventeen in Warsaw reception on the occasion of the completion of the studies by Daniel,50
6692,Call the taxi company.,54
6693,How to Fly,12
6694,When is the next match of the coal?,32
6695,Please add milk and water to your calendar.,50
6696,Remove my training from today,30
6697,I need to get out by train at 5 a.m.,2
6698,Check the latest news.,22
6699,Tell me all my lists.,59
6700,Explain the subject,26
6701,Tell me what the cereal circle is.,26
6702,Send a tweet to the bar and boo my chicken was raw and I was poisoned,47
6703,Is there any event on the 20th of September?,32
6704,What Rules,9
6705,Now it falls,13
6706,Find and tell me what is happening today in the world.,22
6707,Give me a cup of coffee please.,56
6708,Show me when the event begins.,50
6709,What is the current forecast for the,13
6710,It makes me look like a very kind guy very very horkersd wo,53
6711,Forget this list.,53
6712,Please change the light to violet color.,1
6713,Find all classical music.,45
6714,Hello Olly Play Playlist on YouTube,45
